Dex #,Name,Type1,Type2,MaxCP,Att,Def,Sta
56,MANKEY,fighting,,1164,148,82,120
57,PRIMEAPE,fighting,,2288,207,138,163
58,GROWLITHE,fire,,1243,136,93,146
59,ARCANINE,fire,,3029,227,166,207
60,POLIWAG,water,,829,101,82,120
61,POLIWHIRL,water,,1419,130,123,163
62,POLIWRATH,water,fighting,2586,182,184,207
63,ABRA,psychic,,1342,195,82,93
64,KADABRA,psychic,,2059,232,117,120
65,ALAKAZAM,psychic,,3057,271,167,146
66,MACHOP,fighting,,1278,137,82,172
67,MACHOKE,fighting,,2031,177,125,190
68,MACHAMP,fighting,,3056,234,159,207
69,BELLSPROUT,grass,poison,1033,139,61,137
70,WEEPINBELL,grass,poison,1611,172,92,163
71,VICTREEBEL,grass,poison,2431,207,135,190
72,TENTACOOL,water,poison,1040,97,149,120
73,TENTACRUEL,water,poison,2422,166,209,190
74,GEODUDE,rock,ground,1293,132,132,120
75,GRAVELER,rock,ground,1897,164,164,146
76,GOLEM,rock,ground,2949,211,198,190
77,PONYTA,fire,,1697,170,127,137
78,RAPIDASH,fire,,2461,207,162,163
79,SLOWPOKE,water,psychic,1226,109,98,207
80,SLOWBRO,water,psychic,2545,177,180,216
81,MAGNEMITE,electric,steel,1362,165,121,93
82,MAGNETON,electric,steel,2485,223,169,137
83,FARFETCHD,normal,flying,1236,124,115,141
84,DODUO,normal,flying,1200,158,83,111
85,DODRIO,normal,flying,2362,218,140,155
86,SEEL,water,,971,85,121,163
87,DEWGONG,water,ice,1985,139,177,207
88,GRIMER,poison,,1374,135,90,190
89,MUK,poison,,2757,190,172,233
90,SHELLDER,water,,1080,116,134,102
91,CLOYSTER,water,ice,2547,186,256,137
92,GASTLY,ghost,poison,1229,186,67,102
93,HAUNTER,ghost,poison,1963,223,107,128
94,GENGAR,ghost,poison,2878,261,149,155
95,ONIX,rock,ground,1101,85,232,111
96,DROWZEE,psychic,,1040,89,136,155
97,HYPNO,psychic,,2090,144,193,198
98,KRABBY,water,,1561,181,124,102
99,KINGLER,water,,2829,240,181,146
100,VOLTORB,electric,,1010,109,111,120
101,ELECTRODE,electric,,2099,173,173,155
102,EXEGGCUTE,grass,psychic,1175,107,125,155
103,EXEGGUTOR,grass,psychic,3014,233,149,216
104,CUBONE,ground,,1019,90,144,137
105,MAROWAK,ground,,1835,144,186,155
106,HITMONLEE,fighting,,2576,224,181,137
107,HITMONCHAN,fighting,,2332,193,197,137
108,LICKITUNG,normal,,1411,108,137,207
109,KOFFING,poison,,1214,119,141,120
110,WEEZING,poison,,2293,174,197,163
111,RHYHORN,ground,rock,1651,140,127,190
112,RHYDON,ground,rock,3179,222,171,233
113,CHANSEY,normal,,1255,60,128,487
114,TANGELA,grass,,2238,183,169,163
115,KANGASKHAN,normal,,2586,181,165,233
116,HORSEA,water,,1056,129,103,102
117,SEADRA,water,,2093,187,156,146
118,GOLDEEN,water,,1152,123,110,128
119,SEAKING,water,,2162,175,147,190
120,STARYU,water,,1157,137,112,102
121,STARMIE,water,psychic,2584,210,184,155
122,MR MIME,psychic,fairy,2228,192,205,120
123,SCYTHER,bug,flying,2706,218,170,172
124,JYNX,ice,psychic,2555,223,151,163
125,ELECTABUZZ,electric,,2334,198,158,163
126,MAGMAR,fire,,2394,206,154,163
127,PINSIR,bug,,2959,238,182,163
128,TAUROS,normal,,2620,198,183,181
129,MAGIKARP,water,,274,29,85,85
130,GYARADOS,water,flying,3391,237,186,216
131,LAPRAS,water,ice,2641,165,174,277
132,DITTO,normal,,832,91,91,134
133,EEVEE,normal,,1071,104,114,146
134,VAPOREON,water,,3114,205,161,277
135,JOLTEON,electric,,2888,232,182,163
136,FLAREON,fire,,3029,246,179,163
137,PORYGON,normal,,1720,153,136,163
138,OMANYTE,rock,water,1544,155,153,111
139,OMASTAR,rock,water,2786,207,201,172
140,KABUTO,rock,water,1370,148,140,102
141,KABUTOPS,rock,water,2713,220,186,155
142,AERODACTYL,rock,flying,2783,221,159,190
143,SNORLAX,normal,,3225,190,169,330
144,ARTICUNO,ice,flying,3051,192,236,207
145,ZAPDOS,electric,flying,3527,253,185,207
146,MOLTRES,fire,flying,3465,251,181,207
147,DRATINI,dragon,,1004,119,91,121
148,DRAGONAIR,dragon,,1780,163,135,156
149,DRAGONITE,dragon,flying,3792,263,198,209
150,MEWTWO,psychic,,4178,300,182,214
150,ARMORED MEWTWO,psychic,,3187,182,278,214
151,MEW,psychic,,3265,210,210,225
152,CHIKORITA,grass,,935,92,122,128
153,BAYLEEF,grass,,1454,122,155,155
154,MEGANIUM,grass,,2410,168,202,190
155,CYNDAQUIL,fire,,980,116,93,118
156,QUILAVA,fire,,1653,158,126,151
157,TYPHLOSION,fire,,2889,223,173,186
158,TOTODILE,water,,1131,117,109,137
159,CROCONAW,water,,1722,150,142,163
160,FERALIGATR,water,,2857,205,188,198
161,SENTRET,normal,,618,79,73,111
162,FURRET,normal,,1758,148,125,198
163,HOOTHOOT,normal,flying,677,67,88,155
164,NOCTOWL,normal,flying,2024,145,156,225
165,LEDYBA,bug,flying,728,72,118,120
166,LEDIAN,bug,flying,1346,107,179,146
167,SPINARAK,bug,poison,816,105,73,120
168,ARIADOS,bug,poison,1772,161,124,172
169,CROBAT,poison,flying,2646,194,178,198
170,CHINCHOU,water,electric,1119,106,97,181
171,LANTURN,water,electric,2085,146,137,268
172,PICHU,electric,,473,77,53,85
173,CLEFFA,fairy,,671,75,79,137
174,IGGLYBUFF,normal,fairy,535,69,32,207
175,TOGEPI,fairy,,657,67,116,111
176,TOGETIC,fairy,flying,1708,139,181,146
177,NATU,psychic,flying,1102,134,89,120
178,XATU,psychic,flying,2188,192,146,163
179,MAREEP,electric,,991,114,79,146
180,FLAAFFY,electric,,1521,145,109,172
181,AMPHAROS,electric,,2852,211,169,207
182,BELLOSSOM,grass,,2281,169,186,181
183,MARILL,water,fairy,461,37,93,172
184,AZUMARILL,water,fairy,1588,112,152,225
185,SUDOWOODO,rock,,2148,167,176,172
186,POLITOED,water,,2449,174,179,207
187,HOPPIP,grass,flying,600,67,94,111
188,SKIPLOOM,grass,flying,976,91,120,146
189,JUMPLUFF,grass,flying,1636,118,183,181
190,AIPOM,normal,,1348,136,112,146
191,SUNKERN,grass,,395,55,55,102
192,SUNFLORA,grass,,2141,185,135,181
193,YANMA,bug,flying,1470,154,94,163
194,WOOPER,water,ground,641,75,66,146
195,QUAGSIRE,water,ground,1992,152,143,216
196,ESPEON,psychic,,3170,261,175,163
197,UMBREON,dark,,2137,126,240,216
198,MURKROW,dark,flying,1562,175,87,155
199,SLOWKING,water,psychic,2545,177,180,216
200,MISDREAVUS,ghost,,1926,167,154,155
201,UNOWN,psychic,,1185,136,91,134
202,WOBBUFFET,psychic,,1026,60,106,382
203,GIRAFARIG,normal,psychic,2046,182,133,172
204,PINECO,bug,,1108,108,122,137
205,FORRETRESS,bug,steel,2282,161,205,181
206,DUNSPARCE,normal,,1689,131,128,225
207,GLIGAR,ground,flying,1857,143,184,163
208,STEELIX,steel,ground,2414,148,272,181
209,SNUBBULL,fairy,,1237,137,85,155
210,GRANBULL,fairy,,2552,212,131,207
211,QWILFISH,water,poison,2051,184,138,163
212,SCIZOR,bug,steel,3001,236,181,172
213,SHUCKLE,bug,rock,405,17,396,85
214,HERACROSS,bug,fighting,3101,234,179,190
215,SNEASEL,dark,ice,2051,189,146,146
216,TEDDIURSA,normal,,1328,142,93,155
217,URSARING,normal,,2945,236,144,207
218,SLUGMA,fire,,895,118,71,120
219,MAGCARGO,fire,rock,1702,139,191,137
220,SWINUB,ice,ground,741,90,69,137
221,PILOSWINE,ice,ground,2345,181,138,225
222,CORSOLA,water,rock,1378,118,156,146
223,REMORAID,water,,912,127,69,111
224,OCTILLERY,water,,2315,197,141,181
225,DELIBIRD,ice,flying,1094,128,90,128
226,MANTINE,water,flying,2108,148,226,163
227,SKARMORY,steel,flying,2108,148,226,163
228,HOUNDOUR,dark,fire,1234,152,83,128
229,HOUNDOOM,dark,fire,2635,224,144,181
230,KINGDRA,water,dragon,2641,194,194,181
231,PHANPY,ground,,1206,107,98,207
232,DONPHAN,ground,,3013,214,185,207
233,PORYGON2,normal,,2711,198,180,198
234,STANTLER,normal,,2164,192,131,177
235,SMEARGLE,normal,,431,40,83,146
236,TYROGUE,fighting,,492,64,64,111
237,HITMONTOP,fighting,,2156,173,207,137
238,SMOOCHUM,ice,psychic,1291,153,91,128
239,ELEKID,electric,,1206,135,101,128
240,MAGBY,fire,,1323,151,99,128
241,MILTANK,normal,,2354,157,193,216
242,BLISSEY,normal,,2757,129,169,496
243,RAIKOU,electric,,3452,241,195,207
244,ENTEI,fire,,3473,235,171,251
245,SUICUNE,water,,2983,180,235,225
246,LARVITAR,rock,ground,1040,115,93,137
247,PUPITAR,rock,ground,1766,155,133,172
248,TYRANITAR,rock,dark,3834,251,207,225
249,LUGIA,psychic,flying,3703,193,310,235
250,HO OH,fire,flying,3863,239,244,214
251,CELEBI,psychic,grass,3265,210,210,225
252,TREECKO,grass,,1053,124,94,120
253,GROVYLE,grass,,1673,172,120,137
254,SCEPTILE,grass,,2757,223,169,172
255,TORCHIC,fire,,1093,130,87,128
256,COMBUSKEN,fire,fighting,1652,163,115,155
257,BLAZIKEN,fire,fighting,2848,240,141,190
258,MUDKIP,water,,1128,126,93,137
259,MARSHTOMP,water,ground,1776,156,133,172
260,SWAMPERT,water,ground,2974,208,175,225
261,POOCHYENA,dark,,678,96,61,111
262,MIGHTYENA,dark,,1926,171,132,172
263,ZIGZAGOON,normal,,508,58,80,116
264,LINOONE,normal,,1662,142,128,186
265,WURMPLE,bug,,578,75,59,128
266,SILCOON,bug,,553,60,77,137
267,BEAUTIFLY,bug,flying,1765,189,98,155
268,CASCOON,bug,,553,60,77,137
269,DUSTOX,bug,poison,1224,98,162,155
270,LOTAD,water,grass,598,71,77,120
271,LOMBRE,water,grass,1197,112,119,155
272,LUDICOLO,water,grass,2323,173,176,190
273,SEEDOT,grass,,598,71,77,120
274,NUZLEAF,grass,dark,1227,134,78,172
275,SHIFTRY,grass,dark,2333,200,121,207
276,TAILLOW,normal,flying,765,106,61,120
277,SWELLOW,normal,flying,1920,185,124,155
278,WINGULL,water,flying,765,106,61,120
279,PELIPPER,water,flying,2127,175,174,155
280,RALTS,psychic,fairy,539,79,59,99
281,KIRLIA,psychic,fairy,966,117,90,116
282,GARDEVOIR,psychic,fairy,3093,237,195,169
283,SURSKIT,bug,water,791,93,87,120
284,MASQUERAIN,bug,flying,2270,192,150,172
285,SHROOMISH,grass,,810,74,110,155
286,BRELOOM,grass,fighting,2628,241,144,155
287,SLAKOTH,normal,,1002,104,92,155
288,VIGOROTH,normal,,1968,159,145,190
289,SLAKING,normal,,4431,290,166,284
290,NINCADA,bug,ground,768,80,126,104
291,NINJASK,bug,flying,1969,199,112,156
292,SHEDINJA,bug,ghost,393,153,73,1
293,WHISMUR,normal,,671,92,42,162
294,LOUDRED,normal,,1327,134,81,197
295,EXPLOUD,normal,,2347,179,137,232
296,MAKUHITA,fighting,,817,99,54,176
297,HARIYAMA,fighting,,2829,209,114,302
298,AZURILL,normal,fairy,364,36,71,137
299,NOSEPASS,rock,,993,82,215,102
300,SKITTY,normal,,739,84,79,137
301,DELCATTY,normal,,1496,132,127,172
302,SABLEYE,dark,ghost,1476,141,136,137
303,MAWILE,steel,fairy,1634,155,141,137
304,ARON,steel,rock,1307,121,141,137
305,LAIRON,steel,rock,2056,158,198,155
306,AGGRON,steel,rock,3000,198,257,172
307,MEDITITE,fighting,psychic,693,78,107,102
308,MEDICHAM,fighting,psychic,1431,121,152,155
309,ELECTRIKE,electric,,965,123,78,120
310,MANECTRIC,electric,,2340,215,127,172
311,PLUSLE,electric,,1778,167,129,155
312,MINUN,electric,,1694,147,150,155
313,VOLBEAT,bug,,1771,143,166,163
314,ILLUMISE,bug,,1771,143,166,163
315,ROSELIA,grass,poison,1870,186,131,137
316,GULPIN,poison,,866,80,99,172
317,SWALOT,poison,,1978,140,159,225
318,CARVANHA,water,dark,1020,171,39,128
319,SHARPEDO,water,dark,2181,243,83,172
320,WAILMER,water,,1468,136,68,277
321,WAILORD,water,,2280,175,87,347
322,NUMEL,fire,ground,1057,119,79,155
323,CAMERUPT,fire,ground,2193,194,136,172
324,TORKOAL,fire,,2093,151,203,172
325,SPOINK,psychic,,1334,125,122,155
326,GRUMPIG,psychic,,2369,171,188,190
327,SPINDA,normal,,1220,116,116,155
328,TRAPINCH,ground,,1274,162,78,128
329,VIBRAVA,ground,dragon,1225,134,99,137
330,FLYGON,ground,dragon,2661,205,168,190
331,CACNEA,grass,,1242,156,74,137
332,CACTURNE,grass,dark,2298,221,115,172
333,SWABLU,normal,flying,824,76,132,128
334,ALTARIA,dragon,flying,2004,141,201,181
335,ZANGOOSE,normal,,2418,222,124,177
336,SEVIPER,poison,,2105,196,118,177
337,LUNATONE,rock,psychic,2327,178,153,207
338,SOLROCK,rock,psychic,2327,178,153,207
339,BARBOACH,water,ground,819,93,82,137
340,WHISCASH,water,ground,2075,151,141,242
341,CORPHISH,water,,1230,141,99,125
342,CRAWDAUNT,water,dark,2474,224,142,160
343,BALTOY,ground,psychic,787,77,124,120
344,CLAYDOL,ground,psychic,1971,140,229,155
345,LILEEP,rock,grass,1291,105,150,165
346,CRADILY,rock,grass,2211,152,194,200
347,ANORITH,rock,bug,1529,176,100,128
348,ARMALDO,rock,bug,2848,222,174,181
349,FEEBAS,water,,274,29,85,85
350,MILOTIC,water,,3005,192,219,216
351,CASTFORM,normal,,1632,139,139,172
353,SHUPPET,ghost,,1018,138,65,127
354,BANETTE,ghost,,2298,218,126,162
355,DUSKULL,ghost,,706,70,162,85
356,DUSCLOPS,ghost,,1591,124,234,120
357,TROPIUS,grass,flying,1941,136,163,223
358,CHIMECHO,psychic,,2259,175,170,181
359,ABSOL,dark,,2526,246,120,163
360,WYNAUT,psychic,,534,41,86,216
361,SNORUNT,ice,,888,95,95,137
362,GLALIE,ice,,2105,162,162,190
363,SPHEAL,ice,water,962,95,90,172
364,SEALEO,ice,water,1714,137,132,207
365,WALREIN,ice,water,2726,182,176,242
366,CLAMPERL,water,,1270,133,135,111
367,HUNTAIL,water,,2340,197,179,146
368,GOREBYSS,water,,2494,211,179,146
369,RELICANTH,water,rock,2528,162,203,225
370,LUVDISC,water,,848,81,128,125
371,BAGON,dragon,,1156,134,93,128
372,SHELGON,dragon,,2031,172,155,163
373,SALAMENCE,dragon,flying,3749,277,168,216
374,BELDUM,steel,psychic,976,96,132,120
375,METANG,steel,psychic,1721,138,176,155
376,METAGROSS,steel,psychic,3791,257,228,190
377,REGIROCK,rock,,3122,179,309,190
378,REGICE,ice,,3122,179,309,190
379,REGISTEEL,steel,,2447,143,285,190
380,LATIAS,dragon,psychic,3510,228,246,190
381,LATIOS,dragon,psychic,3812,268,212,190
382,KYOGRE,water,,4115,270,228,205
383,GROUDON,ground,,4115,270,228,205
384,RAYQUAZA,dragon,flying,3835,284,170,213
385,JIRACHI,steel,psychic,3265,210,210,225
386,DEOXYS NORMAL,psychic,,3160,345,115,137
386,DEOXYS ATTACK,psychic,,2580,414,46,137
386,DEOXYS DEFENSE,psychic,,2274,144,330,137
386,DEOXYS SPEED,psychic,,2879,230,218,137
387,TURTWIG,grass,,1187,119,110,146
388,GROTLE,grass,,1890,157,143,181
389,TORTERRA,grass,ground,2934,202,188,216
390,CHIMCHAR,fire,,957,113,86,127
391,MONFERNO,fire,fighting,1574,158,105,162
392,INFERNAPE,fire,fighting,2683,222,151,183
393,PIPLUP,water,,1075,112,102,142
394,PRINPLUP,water,,1701,150,139,162
395,EMPOLEON,water,steel,2900,210,186,197
396,STARLY,normal,flying,719,101,58,120
397,STARAVIA,normal,flying,1299,142,94,146
398,STARAPTOR,normal,flying,2825,234,140,198
399,BIDOOF,normal,,721,80,73,153
400,BIBAREL,normal,water,1823,162,119,188
401,KRICKETOT,bug,,401,45,74,114
402,KRICKETUNE,bug,,1653,160,100,184
403,SHINX,electric,,876,117,64,128
404,LUXIO,electric,,1486,159,95,155
405,LUXRAY,electric,,2888,232,156,190
406,BUDEW,grass,poison,856,91,109,120
407,ROSERADE,grass,poison,2971,243,185,155
408,CRANIDOS,rock,,1820,218,71,167
409,RAMPARDOS,rock,,3298,295,109,219
410,SHIELDON,rock,steel,890,76,195,102
411,BASTIODON,rock,steel,1539,94,286,155
412,BURMY PLANT,bug,,488,53,83,120
412,BURMY SANDY,bug,,488,53,83,120
412,BURMY TRASH,bug,,488,53,83,120
413,WORMADAM PLANT,bug,grass,1773,141,180,155
413,WORMADAM SANDY,bug,grass,1773,141,180,155
413,WORMADAM TRASH,bug,grass,1593,127,175,155
414,MOTHIM,bug,flying,1815,185,98,172
415,COMBEE,bug,flying,494,59,83,102
416,VESPIQUEN,bug,flying,2005,149,190,172
417,PACHIRISU,electric,,1213,94,172,155
418,BUIZEL,water,,1054,132,67,146
419,FLOATZEL,water,,2443,221,114,198
420,CHERUBI,grass,,950,108,92,128
421,CHERRIM,grass,,2048,170,153,172
422,SHELLOS,water,,1136,103,105,183
423,GASTRODON,water,ground,2324,169,143,244
424,AMBIPOM,normal,,2418,205,143,181
425,DRIFLOON,ghost,flying,1197,117,80,207
426,DRIFBLIM,ghost,flying,2382,180,102,312
427,BUNEARY,normal,,1258,130,105,146
428,LOPUNNY,normal,,2059,156,194,163
429,MISMAGIUS,ghost,,2615,211,187,155
430,HONCHKROW,dark,flying,2711,243,103,225
431,GLAMEOW,normal,,934,109,82,135
432,PURUGLY,normal,,1953,172,133,174
433,CHINGLING,psychic,,1005,114,94,128
434,STUNKY,poison,dark,1151,121,90,160
435,SKUNTANK,poison,dark,2358,184,132,230
436,BRONZOR,steel,psychic,603,43,154,149
437,BRONZONG,steel,psychic,2239,161,213,167
438,BONSLY,rock,,1302,124,133,137
439,MIME JR,psychic,fairy,1095,125,142,85
440,HAPPINY,normal,,371,25,77,225
441,CHATOT,normal,flying,1791,183,91,183
442,SPIRITOMB,ghost,dark,2072,169,199,137
443,GIBLE,dragon,ground,1112,124,84,151
444,GABITE,dragon,ground,1874,172,125,169
445,GARCHOMP,dragon,ground,3962,261,193,239
446,MUNCHLAX,normal,,1892,137,117,286
447,RIOLU,fighting,,993,127,78,120
448,LUCARIO,fighting,steel,2703,236,144,172
449,HIPPOPOTAS,ground,,1358,124,118,169
450,HIPPOWDON,ground,,3085,201,191,239
451,SKORUPI,poison,bug,1009,93,151,120
452,DRAPION,poison,dark,2453,180,202,172
453,CROAGUNK,poison,fighting,952,116,76,134
454,TOXICROAK,poison,fighting,2488,211,133,195
455,CARNIVINE,grass,,2159,187,136,179
456,FINNEON,water,,971,96,116,135
457,LUMINEON,water,,1814,142,170,170
458,MANTYKE,water,flying,1248,105,179,128
459,SNOVER,grass,ice,1159,115,105,155
460,ABOMASNOW,grass,ice,2362,178,158,207
461,WEAVILE,dark,ice,3005,243,171,172
462,MAGNEZONE,electric,steel,3205,238,205,172
463,LICKILICKY,normal,,2467,161,181,242
464,RHYPERIOR,ground,rock,3733,241,190,251
465,TANGROWTH,grass,,3030,207,184,225
466,ELECTIVIRE,electric,,3079,249,163,181
467,MAGMORTAR,fire,,3132,247,172,181
468,TOGEKISS,fairy,flying,3332,225,217,198
469,YANMEGA,bug,flying,2946,231,156,200
470,LEAFEON,grass,,2944,216,219,163
471,GLACEON,ice,,3126,238,205,163
472,GLISCOR,ground,flying,2692,185,222,181
473,MAMOSWINE,ice,ground,3328,247,146,242
474,PORYGON Z,normal,,3266,264,150,198
475,GALLADE,psychic,fighting,3093,237,195,169
476,PROBOPASS,rock,steel,2080,135,275,155
477,DUSKNOIR,ghost,,2388,180,254,128
478,FROSLASS,ice,ghost,2040,171,150,172
480,UXIE,psychic,,2524,156,270,181
481,MESPRIT,psychic,,3058,212,212,190
482,AZELF,psychic,,3210,270,151,181
483,DIALGA,steel,dragon,4038,275,211,205
484,PALKIA,water,dragon,3991,280,215,189
485,HEATRAN,fire,steel,3754,251,213,209
486,REGIGIGAS,normal,,4346,287,210,221
487,GIRATINA ALTERED,ghost,dragon,3379,187,225,284
487,GIRATINA ORIGIN,ghost,dragon,3683,225,187,284
488,CRESSELIA,psychic,,2857,152,258,260
491,DARKRAI,dark,,3739,285,198,172
495,SNIVY,grass,,849,88,107,128
496,SERVINE,grass,,1441,122,152,155
497,SERPERIOR,grass,,2277,161,204,181
498,TEPIG,fire,,1083,115,85,163
499,PIGNITE,fire,fighting,1924,173,106,207
500,EMBOAR,fire,fighting,2982,235,127,242
501,OSHAWOTT,water,,1046,117,85,146
502,DEWOTT,water,,1741,159,116,181
503,SAMUROTT,water,,2826,212,157,216
504,PATRAT,normal,,791,98,73,128
505,WATCHOG,normal,,1819,165,139,155
506,LILLIPUP,normal,,915,107,86,128
507,HERDIER,normal,,1583,145,126,163
508,STOUTLAND,normal,,2827,206,182,198
509,PURRLOIN,dark,,772,98,73,121
510,LIEPARD,dark,,1846,187,106,162
511,PANSAGE,grass,,956,104,94,137
512,SIMISAGE,grass,,2350,206,133,181
513,PANSEAR,fire,,956,104,94,137
514,SIMISEAR,fire,,2350,206,133,181
515,PANPOUR,water,,956,104,94,137
516,SIMIPOUR,water,,2350,206,133,181
519,PIDOVE,normal,flying,848,98,80,137
520,TRANQUILL,normal,flying,1442,144,107,158
521,UNFEZANT,normal,flying,2734,226,146,190
522,BLITZLE,electric,,882,118,64,128
523,ZEBSTRIKA,electric,,2428,211,136,181
524,ROGGENROLA,rock,,1205,121,110,146
525,BOLDORE,rock,,2029,174,143,172
526,GIGALITH,rock,,3228,226,201,198
527,WOOBAT,psychic,flying,1016,107,85,163
528,SWOOBAT,psychic,flying,1716,161,119,167
529,DRILBUR,ground,,1376,154,85,155
530,EXCADRILL,ground,steel,3244,255,129,242
531,AUDINO,normal,,1682,114,163,230
532,TIMBURR,fighting,,1315,134,87,181
533,GURDURR,fighting,,2169,180,134,198
534,CONKELDURR,fighting,,3337,243,158,233
535,TYMPOLE,water,,839,98,78,137
536,PALPITOAD,water,ground,1392,128,109,181
537,SEISMITOAD,water,ground,2564,188,150,233
538,THROH,fighting,,2562,172,160,260
539,SAWK,fighting,,2788,231,153,181
543,VENIPEDE,bug,poison,706,83,99,102
544,WHIRLIPEDE,bug,poison,1144,100,173,120
545,SCOLIPEDE,bug,poison,2447,203,175,155
550,BASCULIN,water,,2090,189,129,172
554,DARUMAKA,fire,,1442,153,86,172
555,DARMANITAN STANDARD,fire,,3105,263,114,233
556,MARACTUS,grass,,2274,201,130,181
557,DWEBBLE,bug,rock,1224,118,128,137
558,CRUSTLE,bug,rock,2542,188,200,172
559,SCRAGGY,dark,fighting,1372,132,132,137
560,SCRAFTY,dark,fighting,2283,163,222,163
561,SIGILYPH,psychic,flying,2550,204,167,176
562,YAMASK,ghost,,982,95,141,116
563,COFAGRIGUS,ghost,,2273,163,237,151
564,TIRTOUGA,water,rock,1488,134,146,144
565,CARRACOSTA,water,rock,2621,192,197,179
566,ARCHEN,rock,flying,1842,213,89,146
567,ARCHEOPS,rock,flying,3331,292,139,181
568,TRUBBISH,poison,,1000,96,122,137
569,GARBODOR,poison,,2345,181,164,190
572,MINCCINO,normal,,872,98,80,146
573,CINCCINO,normal,,2242,198,130,181
574,GOTHITA,psychic,,951,98,112,128
575,GOTHORITA,psychic,,1604,137,153,155
576,GOTHITELLE,psychic,,2419,176,205,172
577,SOLOSIS,psychic,,1367,170,83,128
578,DUOSION,psychic,,2018,208,103,163
579,REUNICLUS,psychic,,2927,214,148,242
588,KARRABLAST,bug,,1182,137,87,137
589,ESCAVALIER,bug,steel,2889,223,187,172
590,FOONGUS,grass,poison,979,97,91,170
591,AMOONGUSS,grass,poison,2140,155,139,249
594,ALOMOMOLA,water,,2169,138,131,338
595,JOLTIK,bug,electric,1023,110,98,137
596,GALVANTULA,bug,electric,2206,201,128,172
597,FERROSEED,grass,steel,941,82,155,127
598,FERROTHORN,grass,steel,2321,158,223,179
599,KLINK,steel,,956,98,121,120
600,KLANG,steel,,1847,150,174,155
601,KLINKLANG,steel,,2637,199,214,155
607,LITWICK,ghost,fire,1006,108,98,137
608,LAMPENT,ghost,fire,1708,169,115,155
609,CHANDELURE,ghost,fire,3268,271,182,155
610,AXEW,dragon,,1368,154,101,130
611,FRAXURE,dragon,,2234,212,123,165
612,HAXORUS,dragon,,3593,284,172,183
613,CUBCHOO,ice,,1069,128,74,146
614,BEARTIC,ice,,3042,233,152,216
615,CRYOGONAL,ice,,2798,190,218,190
616,SHELMET,bug,,834,72,140,137
617,ACCELGOR,bug,,2441,220,120,190
618,STUNFISK,ground,electric,2162,144,171,240
622,GOLETT,ground,ghost,1189,127,92,153
623,GOLURK,ground,ghost,2854,222,154,205
627,RUFFLET,normal,flying,1491,150,97,172
628,BRAVIARY,normal,flying,3088,232,152,225
631,HEATMOR,fire,,2395,204,129,198
632,DURANT,bug,steel,2659,217,188,151
633,DEINO,dark,dragon,1062,116,93,141
634,ZWEILOUS,dark,dragon,1839,159,135,176
635,HYDREIGON,dark,dragon,3625,256,188,211
638,COBALION,steel,fighting,3022,192,229,209
